Datetime,Open,High,Low,Close,Adj Close,Volume
2025-08-07 00:04:00,42050.0,42050.0,42020.0,42040.0,42040.0,8405
2025-08-07 00:06:00,42050.0,42060.0,42020.0,42060.0,42060.0,3222
2025-08-07 00:08:00,42070.0,42070.0,42040.0,42040.0,42040.0,2970
2025-08-07 00:10:00,42050.0,42050.0,42010.0,42030.0,42030.0,555
2025-08-07 00:12:00,42030.0,42040.0,42020.0,42030.0,42030.0,1532
2025-08-07 00:14:00,42040.0,42040.0,42030.0,42040.0,42040.0,1467
2025-08-07 00:16:00,42050.0,42060.0,42050.0,42050.0,42050.0,866
2025-08-07 00:18:00,42060.0,42060.0,42050.0,42050.0,42050.0,485
2025-08-07 00:20:00,42050.0,42070.0,42050.0,42070.0,42070.0,924
2025-08-07 00:22:00,42070.0,42080.0,42060.0,42080.0,42080.0,416
2025-08-07 00:24:00,42090.0,42140.0,42090.0,42140.0,42140.0,4166
2025-08-07 00:26:00,42140.0,42180.0,42140.0,42170.0,42170.0,1056
2025-08-07 00:28:00,42180.0,42210.0,42180.0,42200.0,42200.0,2326
2025-08-07 00:30:00,42190.0,42230.0,42170.0,42230.0,42230.0,851
2025-08-07 00:32:00,42230.0,42230.0,42210.0,42220.0,42220.0,97
2025-08-07 00:34:00,42220.0,42220.0,42200.0,42220.0,42220.0,1215
2025-08-07 00:36:00,42230.0,42240.0,42230.0,42240.0,42240.0,643
2025-08-07 00:38:00,42240.0,42260.0,42240.0,42260.0,42260.0,1342
2025-08-07 00:40:00,42260.0,42260.0,42230.0,42240.0,42240.0,247
2025-08-07 00:42:00,42240.0,42260.0,42240.0,42250.0,42250.0,739
2025-08-07 00:44:00,42250.0,42270.0,42250.0,42270.0,42270.0,156
2025-08-07 00:46:00,42270.0,42270.0,42250.0,42250.0,42250.0,7075
2025-08-07 00:48:00,42260.0,42270.0,42260.0,42270.0,42270.0,699
2025-08-07 00:50:00,42280.0,42330.0,42280.0,42320.0,42320.0,4676
2025-08-07 00:52:00,42310.0,42330.0,42300.0,42310.0,42310.0,914
2025-08-07 00:54:00,42310.0,42320.0,42280.0,42280.0,42280.0,3220
2025-08-07 00:56:00,42280.0,42310.0,42280.0,42310.0,42310.0,3516
2025-08-07 00:58:00,42310.0,42320.0,42300.0,42310.0,42310.0,645
2025-08-07 01:00:00,42310.0,42310.0,42270.0,42270.0,42270.0,118
2025-08-07 01:02:00,42270.0,42270.0,42250.0,42260.0,42260.0,2099
2025-08-07 01:04:00,42250.0,42260.0,42250.0,42250.0,42250.0,2115
2025-08-07 01:06:00,42240.0,42260.0,42240.0,42250.0,42250.0,6162
2025-08-07 01:08:00,42250.0,42250.0,42250.0,42250.0,42250.0,233
2025-08-07 01:10:00,42240.0,42280.0,42240.0,42280.0,42280.0,623
2025-08-07 01:12:00,42270.0,42270.0,42230.0,42240.0,42240.0,1080
2025-08-07 01:14:00,42250.0,42260.0,42240.0,42240.0,42240.0,149
2025-08-07 01:16:00,42240.0,42240.0,42220.0,42240.0,42240.0,302
2025-08-07 01:18:00,42230.0,42260.0,42230.0,42260.0,42260.0,756
2025-08-07 01:20:00,42260.0,42290.0,42260.0,42290.0,42290.0,1509
2025-08-07 01:22:00,42290.0,42300.0,42290.0,42300.0,42300.0,1246
2025-08-07 01:24:00,42300.0,42310.0,42300.0,42310.0,42310.0,1204
2025-08-07 01:26:00,42310.0,42310.0,42290.0,42300.0,42300.0,1903
2025-08-07 01:28:00,42310.0,42320.0,42310.0,42310.0,42310.0,213
2025-08-07 01:30:00,42320.0,42330.0,42320.0,42320.0,42320.0,2482
2025-08-07 01:32:00,42320.0,42350.0,42320.0,42340.0,42340.0,391
2025-08-07 01:34:00,42340.0,42340.0,42330.0,42330.0,42330.0,155
2025-08-07 01:36:00,42330.0,42360.0,42330.0,42360.0,42360.0,2698
2025-08-07 01:38:00,42360.0,42360.0,42340.0,42350.0,42350.0,501
2025-08-07 01:40:00,42360.0,42360.0,42360.0,42360.0,42360.0,420
2025-08-07 01:42:00,42370.0,42400.0,42370.0,42400.0,42400.0,2006
2025-08-07 01:44:00,42400.0,42410.0,42380.0,42380.0,42380.0,275
2025-08-07 01:46:00,42370.0,42390.0,42370.0,42380.0,42380.0,407
2025-08-07 01:48:00,42390.0,42390.0,42380.0,42390.0,42390.0,48
2025-08-07 01:50:00,42380.0,42390.0,42380.0,42390.0,42390.0,819
2025-08-07 01:52:00,42400.0,42400.0,42390.0,42400.0,42400.0,909
2025-08-07 01:54:00,42390.0,42390.0,42360.0,42370.0,42370.0,293
2025-08-07 01:56:00,42370.0,42370.0,42370.0,42370.0,42370.0,2115
2025-08-07 01:58:00,42370.0,42380.0,42370.0,42380.0,42380.0,46
2025-08-07 02:00:00,42380.0,42390.0,42380.0,42390.0,42390.0,38
2025-08-07 02:02:00,42390.0,42400.0,42380.0,42390.0,42390.0,466
2025-08-07 02:04:00,42400.0,42400.0,42400.0,42400.0,42400.0,361
2025-08-07 02:06:00,42400.0,42410.0,42400.0,42410.0,42410.0,1302
2025-08-07 02:08:00,42410.0,42410.0,42410.0,42410.0,42410.0,113
2025-08-07 02:10:00,42400.0,42410.0,42390.0,42390.0,42390.0,519
2025-08-07 02:12:00,42390.0,42410.0,42390.0,42410.0,42410.0,223
2025-08-07 02:14:00,42400.0,42410.0,42400.0,42410.0,42410.0,410
2025-08-07 02:16:00,42400.0,42400.0,42400.0,42400.0,42400.0,232
2025-08-07 02:18:00,42400.0,42400.0,42390.0,42390.0,42390.0,79
2025-08-07 02:20:00,42380.0,42380.0,42360.0,42360.0,42360.0,1491
2025-08-07 02:22:00,42350.0,42370.0,42350.0,42360.0,42360.0,508
2025-08-07 02:24:00,42360.0,42360.0,42360.0,42360.0,42360.0,203
2025-08-07 02:26:00,42350.0,42360.0,42350.0,42350.0,42350.0,81
2025-08-07 02:28:00,42360.0,42360.0,42350.0,42350.0,42350.0,390
2025-08-07 02:30:00,42350.0,42350.0,42350.0,42350.0,42350.0,703
2025-08-07 03:30:00,42350.0,42360.0,42340.0,42350.0,42350.0,2981
2025-08-07 03:32:00,42350.0,42370.0,42340.0,42360.0,42360.0,1807
2025-08-07 03:34:00,42360.0,42360.0,42340.0,42340.0,42340.0,496
2025-08-07 03:36:00,42340.0,42350.0,42340.0,42340.0,42340.0,309
2025-08-07 03:38:00,42330.0,42360.0,42330.0,42340.0,42340.0,1873
2025-08-07 03:40:00,42330.0,42350.0,42320.0,42350.0,42350.0,2946
2025-08-07 03:42:00,42340.0,42340.0,42340.0,42340.0,42340.0,416
2025-08-07 03:44:00,42340.0,42360.0,42340.0,42340.0,42340.0,654
2025-08-07 03:46:00,42340.0,42340.0,42320.0,42320.0,42320.0,920
2025-08-07 03:48:00,42320.0,42330.0,42320.0,42320.0,42320.0,467
2025-08-07 03:50:00,42330.0,42340.0,42330.0,42340.0,42340.0,190
2025-08-07 03:52:00,42340.0,42340.0,42320.0,42330.0,42330.0,320
