Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,26030.0,26100.0,25925.0,25925.0,20823.333984375,1972349
2015-05-29,25875.0,26150.0,25825.0,26020.0,20899.634765625,1463384
2015-06-01,25970.0,25970.0,25650.0,25825.0,20743.0078125,1371089
2015-06-02,25760.0,25900.0,25515.0,25590.0,20554.251953125,1664440
2015-06-03,25615.0,25675.0,25335.0,25375.0,20381.5625,1779675
2015-06-04,25420.0,25620.0,25350.0,25460.0,20449.8359375,1692657
2015-06-05,25370.0,25525.0,25310.0,25400.0,20401.63671875,1746114
2015-06-08,25395.0,25410.0,25250.0,25340.0,20353.455078125,1624373
2015-06-09,25330.0,25460.0,25225.0,25315.0,20333.36328125,2032945
2015-06-10,25410.0,25450.0,25155.0,25175.0,20220.921875,1813097
2015-06-11,25275.0,25320.0,25155.0,25255.0,20285.17578125,2617340
2015-06-12,25280.0,25440.0,25030.0,25060.0,20128.552734375,2490903
2015-06-15,24900.0,25085.0,24870.0,24975.0,20060.275390625,922663
2015-06-16,24955.0,25005.0,24590.0,24780.0,19903.64453125,3418513
2015-06-17,24780.0,24830.0,24665.0,24810.0,19927.744140625,1670489
2015-06-18,24915.0,25040.0,24795.0,24870.0,19975.943359375,2877854
2015-06-19,25020.0,25075.0,24905.0,24990.0,20072.328125,4913559
2015-06-22,25050.0,25190.0,24995.0,25050.0,20120.517578125,905929
2015-06-23,25205.0,25430.0,25150.0,25405.0,20405.654296875,1708916
2015-06-24,25435.0,25470.0,25360.0,25410.0,20409.671875,3381444
2015-06-25,25360.0,25435.0,25290.0,25380.0,20385.578125,780691
2015-06-26,25280.0,25475.0,25200.0,25390.0,20393.619140625,2692587
2015-06-29,25060.0,25125.0,24955.0,25045.0,20116.501953125,4196820
2015-06-30,25015.0,25200.0,25000.0,25200.0,20241.001953125,1730965
2015-07-01,25120.0,25480.0,25100.0,25450.0,20441.8046875,1774170
2015-07-02,25480.0,25555.0,25465.0,25490.0,20473.93359375,785183
2015-07-03,25490.0,25515.0,25310.0,25425.0,20421.7265625,688023
2015-07-06,25095.0,25260.0,24780.0,24815.0,19931.763671875,2681919
2015-07-07,24885.0,24925.0,24685.0,24850.0,19959.873046875,2357210
2015-07-08,24845.0,24855.0,24510.0,24510.0,19686.78125,2240882
2015-07-09,24375.0,24670.0,24190.0,24670.0,19815.291015625,2239227
2015-07-10,24700.0,24720.0,24575.0,24670.0,19815.291015625,1571301
2015-07-13,24650.0,25010.0,24620.0,24935.0,20028.14453125,1018071
2015-07-14,24965.0,24985.0,24760.0,24825.0,19939.7890625,1287182
2015-07-15,24925.0,25110.0,24805.0,24920.0,20016.099609375,1073407
2015-07-16,24875.0,25090.0,24855.0,25090.0,20152.64453125,1223894
2015-07-17,25195.0,25220.0,24875.0,24950.0,20040.197265625,1173409
2015-07-20,24945.0,25045.0,24815.0,24890.0,19992.00390625,1224851
2015-07-21,24920.0,25080.0,24800.0,24940.0,20032.166015625,1458850
2015-07-22,24805.0,24865.0,24620.0,24695.0,19835.37890625,2516753
2015-07-23,24740.0,24770.0,24585.0,24695.0,19835.37890625,1642393
2015-07-24,24590.0,24600.0,24370.0,24415.0,19610.4765625,2308388
2015-07-27,24330.0,24520.0,24280.0,24470.0,19654.646484375,2567756
2015-07-28,24400.0,24550.0,24300.0,24510.0,19686.78125,1596054
2015-07-29,24565.0,24640.0,24510.0,24600.0,19759.0703125,1055752
2015-07-30,24610.0,24645.0,24380.0,24390.0,19598.359375,997542
2015-07-31,24410.0,24415.0,24185.0,24305.0,19530.0546875,1756593
2015-08-03,24305.0,24305.0,24105.0,24195.0,19441.671875,1269757
2015-08-04,24195.0,24285.0,24165.0,24275.0,19505.958984375,704386
2015-08-05,24250.0,24385.0,24205.0,24315.0,19538.09765625,1026766
2015-08-06,24345.0,24355.0,24020.0,24020.0,19301.052734375,1629430
2015-08-07,23955.0,24010.0,23870.0,23955.0,19248.81640625,1545863
2015-08-10,23955.0,23955.0,23820.0,23910.0,19212.662109375,1076331
2015-08-11,24050.0,24190.0,23820.0,23820.0,19140.345703125,1908517
2015-08-12,23730.0,23865.0,23510.0,23670.0,19019.810546875,1443221
2015-08-13,23645.0,23800.0,23590.0,23765.0,19096.14453125,2065419
2015-08-17,23840.0,23845.0,23565.0,23580.0,18947.49609375,1768876
2015-08-18,23640.0,23685.0,23535.0,23570.0,18939.455078125,1564590
2015-08-19,23530.0,23550.0,23295.0,23370.0,18778.75,2308232
2015-08-20,23350.0,23350.0,23110.0,23110.0,18569.828125,1592752
2015-08-21,22660.0,22840.0,22580.0,22770.0,18296.626953125,3659178
2015-08-24,22545.0,22635.0,21705.0,22195.0,17834.587890625,6097046
2015-08-25,22210.0,22535.0,21835.0,22315.0,17931.013671875,5259631
2015-08-26,22175.0,22775.0,22090.0,22740.0,18272.515625,3194529
2015-08-27,22830.0,22995.0,22745.0,22830.0,18344.837890625,3383529
2015-08-28,23055.0,23175.0,23035.0,23145.0,18597.955078125,1969471
2015-08-31,23085.0,23185.0,22990.0,23130.0,18585.8984375,1346163
2015-09-01,23125.0,23190.0,22925.0,22970.0,18457.337890625,2330358
2015-09-02,22700.0,23090.0,22695.0,22945.0,18437.24609375,1855644
2015-09-03,23100.0,23140.0,22980.0,23030.0,18505.55078125,1008249
2015-09-04,23035.0,23065.0,22735.0,22845.0,18356.888671875,1664247
2015-09-07,22800.0,22925.0,22670.0,22785.0,18308.6796875,1509182
2015-09-08,22805.0,22860.0,22675.0,22800.0,18320.732421875,639484
2015-09-09,23030.0,23500.0,23030.0,23500.0,18883.212890625,1352161
2015-09-10,23330.0,23620.0,23270.0,23580.0,18947.49609375,1324693
2015-09-11,23450.0,23570.0,23375.0,23375.0,18782.771484375,847788
2015-09-14,23505.0,23505.0,23135.0,23260.0,18690.359375,1254609
2015-09-15,23290.0,23370.0,23220.0,23350.0,18762.677734375,1056718
2015-09-16,23440.0,23970.0,23440.0,23805.0,19128.2890625,3282642
2015-09-17,24070.0,24085.0,23910.0,23945.0,19240.78515625,3749758
2015-09-18,23885.0,24165.0,23665.0,24075.0,19345.248046875,1782132
2015-09-21,23815.0,23885.0,23605.0,23705.0,19047.9375,1260342
