Datetime,Open,High,Low,Close,Adj Close,Volume
2025-08-08 00:00:00,43570.0,43570.0,43425.0,43430.0,43430.0,0
2025-08-08 00:02:00,43435.0,43535.0,43400.0,43500.0,43500.0,213820
2025-08-08 00:04:00,43500.0,43515.0,43455.0,43470.0,43470.0,158179
2025-08-08 00:06:00,43460.0,43510.0,43430.0,43480.0,43480.0,140404
2025-08-08 00:08:00,43480.0,43605.0,43475.0,43585.0,43585.0,191398
2025-08-08 00:10:00,43585.0,43625.0,43570.0,43580.0,43580.0,141528
2025-08-08 00:12:00,43580.0,43600.0,43520.0,43570.0,43570.0,215838
2025-08-08 00:14:00,43570.0,43615.0,43545.0,43600.0,43600.0,282642
2025-08-08 00:16:00,43600.0,43620.0,43555.0,43605.0,43605.0,53924
2025-08-08 00:18:00,43610.0,43635.0,43580.0,43590.0,43590.0,61121
2025-08-08 00:20:00,43590.0,43590.0,43520.0,43540.0,43540.0,89709
2025-08-08 00:22:00,43550.0,43585.0,43500.0,43580.0,43580.0,213080
2025-08-08 00:24:00,43580.0,43665.0,43575.0,43650.0,43650.0,114484
2025-08-08 00:26:00,43655.0,43675.0,43630.0,43645.0,43645.0,55318
2025-08-08 00:28:00,43640.0,43670.0,43630.0,43660.0,43660.0,28019
2025-08-08 00:30:00,43660.0,43695.0,43650.0,43655.0,43655.0,138156
2025-08-08 00:32:00,43650.0,43690.0,43640.0,43675.0,43675.0,100500
2025-08-08 00:34:00,43675.0,43680.0,43625.0,43630.0,43630.0,47136
2025-08-08 00:36:00,43625.0,43640.0,43600.0,43630.0,43630.0,38466
2025-08-08 00:38:00,43630.0,43655.0,43605.0,43615.0,43615.0,41117
2025-08-08 00:40:00,43615.0,43675.0,43595.0,43675.0,43675.0,62501
2025-08-08 00:42:00,43675.0,43720.0,43665.0,43690.0,43690.0,100897
2025-08-08 00:44:00,43690.0,43690.0,43615.0,43620.0,43620.0,48299
2025-08-08 00:46:00,43620.0,43630.0,43585.0,43595.0,43595.0,28891
2025-08-08 00:48:00,43590.0,43595.0,43540.0,43565.0,43565.0,29904
2025-08-08 00:50:00,43565.0,43575.0,43495.0,43505.0,43505.0,35711
2025-08-08 00:52:00,43500.0,43550.0,43490.0,43545.0,43545.0,21904
2025-08-08 00:54:00,43545.0,43580.0,43535.0,43570.0,43570.0,91753
2025-08-08 00:56:00,43570.0,43585.0,43565.0,43575.0,43575.0,12033
2025-08-08 00:58:00,43580.0,43600.0,43565.0,43595.0,43595.0,38301
2025-08-08 01:00:00,43600.0,43615.0,43575.0,43590.0,43590.0,17454
2025-08-08 01:02:00,43590.0,43610.0,43570.0,43580.0,43580.0,12931
2025-08-08 01:04:00,43575.0,43605.0,43550.0,43605.0,43605.0,23645
2025-08-08 01:06:00,43605.0,43640.0,43600.0,43625.0,43625.0,26940
2025-08-08 01:08:00,43625.0,43650.0,43605.0,43615.0,43615.0,34241
2025-08-08 01:10:00,43610.0,43620.0,43585.0,43600.0,43600.0,18708
2025-08-08 01:12:00,43600.0,43615.0,43560.0,43580.0,43580.0,45016
2025-08-08 01:14:00,43580.0,43585.0,43510.0,43530.0,43530.0,31483
2025-08-08 01:16:00,43535.0,43575.0,43530.0,43560.0,43560.0,21633
