Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,26000.0,26090.0,25915.0,25915.0,21101.279296875,6850965
2015-05-29,25850.0,26150.0,25810.0,26050.0,21211.20703125,4186642
2015-06-01,25970.0,25970.0,25645.0,25815.0,21019.8515625,3364862
2015-06-02,25790.0,25885.0,25500.0,25570.0,20820.361328125,5480011
2015-06-03,25595.0,25660.0,25315.0,25335.0,20629.015625,4111724
2015-06-04,25405.0,25605.0,25325.0,25430.0,20706.37109375,6092206
2015-06-05,25335.0,25510.0,25295.0,25400.0,20681.943359375,2130295
2015-06-08,25370.0,25395.0,25240.0,25350.0,20641.23046875,4718724
2015-06-09,25350.0,25445.0,25190.0,25310.0,20608.66015625,3595984
2015-06-10,25380.0,25440.0,25115.0,25160.0,20486.521484375,4823410
2015-06-11,25230.0,25280.0,25110.0,25255.0,20563.87109375,7347547
2015-06-12,25300.0,25410.0,24985.0,25040.0,20388.8125,4418643
2015-06-15,24900.0,25050.0,24825.0,24955.0,20319.599609375,5024665
2015-06-16,24935.0,24985.0,24550.0,24750.0,20152.677734375,6558654
2015-06-17,24765.0,24795.0,24630.0,24770.0,20168.966796875,5468238
2015-06-18,24875.0,25015.0,24760.0,24845.0,20230.0390625,7401990
2015-06-19,24980.0,25025.0,24870.0,24970.0,20331.81640625,2963769
2015-06-22,25050.0,25165.0,24965.0,25055.0,20401.02734375,4370440
2015-06-23,25190.0,25420.0,25130.0,25390.0,20673.80078125,4918357
2015-06-24,25425.0,25450.0,25340.0,25380.0,20665.650390625,2756947
2015-06-25,25300.0,25415.0,25255.0,25360.0,20649.37109375,3067299
2015-06-26,25275.0,25435.0,25180.0,25375.0,20661.583984375,3922947
2015-06-29,25145.0,25145.0,24920.0,25050.0,20396.95703125,4950659
2015-06-30,24980.0,25155.0,24960.0,25155.0,20482.44921875,3737577
2015-07-01,25130.0,25460.0,25070.0,25440.0,20714.515625,3259955
2015-07-02,25465.0,25545.0,25440.0,25470.0,20738.9375,1823786
2015-07-03,25455.0,25495.0,25295.0,25395.0,20677.873046875,2570091
2015-07-06,25085.0,25245.0,24750.0,24765.0,20164.89453125,2680197
2015-07-07,24890.0,24920.0,24670.0,24815.0,20205.6015625,4094982
2015-07-08,24810.0,24845.0,24475.0,24475.0,19928.76171875,5077370
2015-07-09,24355.0,24640.0,24180.0,24640.0,20063.111328125,7500968
2015-07-10,24715.0,24740.0,24555.0,24660.0,20079.396484375,2687809
2015-07-13,24660.0,25005.0,24600.0,24925.0,20295.173828125,3015363
2015-07-14,24970.0,24970.0,24735.0,24805.0,20197.458984375,2687928
2015-07-15,24895.0,25105.0,24780.0,24880.0,20258.537109375,3382566
2015-07-16,24840.0,25065.0,24840.0,25065.0,20409.1640625,2613053
2015-07-17,25175.0,25210.0,24850.0,24915.0,20287.029296875,3099818
2015-07-20,24910.0,25030.0,24800.0,24875.0,20254.458984375,2383071
2015-07-21,24880.0,25065.0,24795.0,24925.0,20295.173828125,2609932
2015-07-22,24790.0,24855.0,24625.0,24710.0,20120.10546875,3791661
2015-07-23,24745.0,24765.0,24590.0,24700.0,20111.96484375,3454406
2015-07-24,24575.0,24600.0,24375.0,24420.0,19883.98046875,3678959
2015-07-27,24310.0,24515.0,24275.0,24465.0,19920.615234375,5259322
2015-07-28,24395.0,24545.0,24295.0,24510.0,19957.263671875,3147981
2015-07-29,24600.0,24645.0,24510.0,24610.0,20038.6875,3317404
