Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,20740.0,20860.0,20640.0,20730.0,17591.525390625,345556
2015-07-28,20520.0,20800.0,20430.0,20710.0,17574.5546875,444497
2015-07-29,20680.0,20700.0,20570.0,20650.0,17523.638671875,212792
2015-07-30,20820.0,20950.0,20820.0,20900.0,17735.7890625,325438
2015-07-31,20870.0,20940.0,20830.0,20930.0,17761.24609375,387388
2015-08-03,20890.0,20920.0,20760.0,20900.0,17735.7890625,165802
2015-08-04,20800.0,20910.0,20800.0,20860.0,17701.84375,366901
2015-08-05,20850.0,21080.0,20830.0,20990.0,17812.162109375,299331
2015-08-06,21130.0,21180.0,21020.0,21020.0,17837.619140625,642037
2015-08-07,21000.0,21110.0,20930.0,21090.0,17897.021484375,202881
2015-08-10,20990.0,21170.0,20970.0,21150.0,17947.939453125,257453
2015-08-11,21260.0,21310.0,20930.0,21080.0,17888.537109375,680801
2015-08-12,21000.0,21060.0,20650.0,20760.0,17616.982421875,1031936
2015-08-13,20760.0,21000.0,20650.0,20960.0,17786.701171875,646546
2015-08-14,20870.0,20970.0,20840.0,20890.0,17727.298828125,182276
2015-08-17,20950.0,21040.0,20890.0,20970.0,17795.1875,109026
2015-08-18,21000.0,21030.0,20910.0,20910.0,17744.2734375,112131
2015-08-19,20850.0,20880.0,20570.0,20580.0,17464.232421875,422832
2015-08-20,20570.0,20620.0,20400.0,20410.0,17319.97265625,733287
2015-08-21,20010.0,20080.0,19790.0,19820.0,16819.298828125,2141854
2015-08-24,19420.0,19470.0,18830.0,18940.0,16072.529296875,1935480
2015-08-25,18320.0,19190.0,18080.0,18180.0,15427.58984375,2199094
2015-08-26,18150.0,18780.0,18060.0,18710.0,15877.349609375,1811029
2015-08-27,19060.0,19160.0,18830.0,18900.0,16038.5810546875,748852
2015-08-28,19360.0,19560.0,19290.0,19480.0,16530.775390625,637365
2015-08-31,19370.0,19380.0,19100.0,19230.0,16318.6220703125,711692
2015-09-01,19090.0,19120.0,18550.0,18560.0,15750.05859375,1130322
2015-09-02,18230.0,18830.0,18180.0,18450.0,15656.7138671875,1312709
2015-09-03,18730.0,18830.0,18510.0,18530.0,15724.6005859375,431611
2015-09-04,18620.0,18650.0,17920.0,18130.0,15385.1572265625,1480695
2015-09-07,18010.0,18350.0,17800.0,18190.0,15436.072265625,683627
2015-09-08,18260.0,18310.0,17740.0,17740.0,15054.2060546875,823211
2015-09-09,18350.0,19070.0,18320.0,19050.0,16165.8740234375,1407670
2015-09-10,18440.0,18650.0,18270.0,18640.0,15817.9462890625,694587
2015-09-11,18430.0,18690.0,18420.0,18600.0,15784.00390625,443162
2015-09-14,18690.0,18690.0,18230.0,18310.0,15537.91015625,399828
2015-09-15,18410.0,18660.0,18300.0,18340.0,15563.3671875,492732
2015-09-16,18580.0,18640.0,18430.0,18530.0,15724.6005859375,506139
2015-09-17,18720.0,18810.0,18630.0,18760.0,15919.77734375,280272
2015-09-18,18630.0,18630.0,18390.0,18460.0,15665.197265625,542289
2015-09-24,18060.0,18160.0,17930.0,17940.0,15223.9267578125,544083
2015-09-25,17940.0,18200.0,17810.0,18200.0,15444.5634765625,748839
2015-09-28,18250.0,18280.0,17990.0,18130.0,15385.1572265625,401323
2015-09-29,17820.0,17820.0,17330.0,17370.0,14740.22265625,1788290
2015-09-30,17660.0,17890.0,17600.0,17770.0,15079.6630859375,826580
